Date : 2025-03-24 21:28:39
Directory : d:\information\IOT\learn\C\opensource\redis
Total : 1436 files,  250452 codes, 56360 comments, 40593 blanks, all 347405 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\libhv.h                                         | C++          |         96 |          4 |         24 |        124 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\libsdevent.h                                    | C++          |        138 |          4 |         36 |        178 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\libuv.h                                         | C++          |        124 |          9 |         39 |        172 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\macosx.h                                        | C++          |         82 |          7 |         27 |        116 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\poll.h                                          | C++          |        147 |         20 |         31 |        198 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\qt.h                                            | C++          |         91 |         24 |         21 |        136 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\adapters\redismoduleapi.h                                | C++          |        113 |          4 |         28 |        145 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\alloc.c                                                  | C            |         44 |         32 |         15 |         91 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\alloc.h                                                  | C++          |         46 |         32 |         19 |         97 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\appveyor.yml                                             | YAML         |         17 |          3 |          5 |         25 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\async.c                                                  | C            |        707 |        177 |        151 |      1,035 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\async.h                                                  | C++          |         78 |         51 |         24 |        153 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\async_private.h                                          | C++          |         38 |         30 |          8 |         76 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\dict.c                                                   | C            |        206 |         91 |         47 |        344 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\dict.h                                                   | C++          |         70 |         38 |         18 |        126 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\CMakeLists.txt                                  | cmake        |         50 |          0 |         12 |         62 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-ae.c                                    | C            |         47 |          3 |         13 |         63 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-glib.c                                  | C            |         60 |          0 |         14 |         74 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-ivykis.c                                | C            |         46 |          2 |         13 |         61 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-libev.c                                 | C            |         44 |          2 |          9 |         55 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-libevent-ssl.c                          | C            |         72 |          2 |         17 |         91 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-libevent.c                              | C            |         55 |          2 |         11 |         68 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-libhv.c                                 | C            |         57 |          2 |         12 |         71 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-libsdevent.c                            | C            |         62 |         10 |         15 |         87 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-libuv.c                                 | C            |         58 |         10 |         14 |         82 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-macosx.c                                | C            |         45 |          6 |         16 |         67 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-poll.c                                  | C            |         48 |          3 |         12 |         63 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-push.c                                  | C            |         82 |         49 |         29 |        160 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-qt.cpp                                  | C++          |         30 |          0 |         17 |         47 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-qt.h                                    | C++          |         22 |          0 |         11 |         33 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-redismoduleapi.c                        | C            |         67 |         20 |         15 |        102 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example-ssl.c                                   | C            |         86 |          8 |         19 |        113 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\examples\example.c                                       | C            |        100 |         18 |         28 |        146 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\fmacros.h                                                | C++          |         10 |          1 |          4 |         15 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\fuzzing\format_command_fuzzer.c                          | C            |         17 |         32 |          8 |         57 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\hiredis.c                                                | C            |        873 |        158 |        189 |      1,220 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\hiredis.h                                                | C++          |        184 |        124 |         55 |        363 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\hiredis.targets                                          | XML          |         11 |          0 |          0 |         11 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\hiredis_ssl.h                                            | C++          |         45 |         96 |         23 |        164 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\net.c                                                    | C            |        517 |         70 |         86 |        673 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\net.h                                                    | C++          |         18 |         33 |          7 |         58 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\read.c                                                   | C            |        590 |         92 |        107 |        789 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\read.h                                                   | C++          |         73 |         37 |         20 |        130 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\sds.c                                                    | C            |        855 |        323 |        115 |      1,293 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\sds.h                                                    | C++          |        221 |         40 |         20 |        281 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\sdsalloc.h                                               | C++          |          4 |         37 |          4 |         45 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\sdscompat.h                                              | C++          |         49 |         39 |          7 |         95 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\sockcompat.c                                             | C            |        214 |         39 |         28 |        281 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\sockcompat.h                                             | C++          |         56 |         32 |          8 |         96 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\ssl.c                                                    | C            |        435 |         93 |         90 |        618 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\test.c                                                   | C            |      1,846 |        261 |        329 |      2,436 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\test.sh                                                  | Shell Script |         92 |          7 |         14 |        113 |
| d:\information\IOT\learn\C\opensource\redis\deps\hiredis\win32.h                                                  | C++          |         42 |          0 |         15 |         57 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\.appveyor.yml                                           | YAML         |         38 |          0 |          4 |         42 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\.autom4te.cfg                                           | Properties   |          3 |          0 |          1 |          4 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\.cirrus.yml                                             | YAML         |         42 |          3 |          2 |         47 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\.clang-format                                           | YAML         |         72 |         49 |          2 |        123 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\.travis.yml                                             | YAML         |        397 |          9 |          8 |        414 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\INSTALL.md                                              | Markdown     |        285 |          0 |        140 |        425 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\TUNING.md                                               | Markdown     |         93 |          0 |         37 |        130 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\autogen.sh                                              | Shell Script |         14 |          1 |          3 |         18 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\doc\stylesheet.xsl                                      | XSL          |         10 |          0 |          1 |         11 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\doc_internal\PROFILING_INTERNALS.md                     | Markdown     |         80 |          0 |         48 |        128 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\doc_internal\jemalloc.svg                               | XML          |          1 |          0 |          0 |          1 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\activity_callback.h           | C++          |         11 |         10 |          3 |         24 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\arena_externs.h               | C++          |        101 |          8 |         13 |        122 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\arena_inlines_a.h             | C++          |         19 |          0 |          6 |         25 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\arena_inlines_b.h             | C++          |        409 |         69 |         73 |        551 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\arena_stats.h                 | C++          |         64 |         33 |         18 |        115 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\arena_structs.h               | C++          |         35 |         53 |         14 |        102 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\arena_types.h                 | C++          |         28 |         15 |         16 |         59 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\assert.h                      | C++          |         46 |          5 |          6 |         57 |
| d:\information\IOT\learn\C\opensource\redis\deps\jemalloc\include\jemalloc\internal\atomic.h                      | C++          |         58 |         33 |         17 |        108 |
