Date : 2025-03-24 21:28:39
Directory : d:\information\IOT\learn\C\opensource\redis
Total : 1436 files,  250452 codes, 56360 comments, 40593 blanks, all 347405 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\information\IOT\learn\C\opensource\redis\src\ziplist.h                                                         | C++          |         36 |         32 |          7 |         75 |
| d:\information\IOT\learn\C\opensource\redis\src\zipmap.c                                                          | C            |        318 |        138 |         66 |        522 |
| d:\information\IOT\learn\C\opensource\redis\src\zipmap.h                                                          | C++          |         17 |         12 |          5 |         34 |
| d:\information\IOT\learn\C\opensource\redis\src\zmalloc.c                                                         | C            |        784 |        165 |        140 |      1,089 |
| d:\information\IOT\learn\C\opensource\redis\src\zmalloc.h                                                         | C++          |         99 |         37 |         20 |        156 |
| d:\information\IOT\learn\C\opensource\redis\tests\README.md                                                       | Markdown     |         48 |          0 |         16 |         64 |
| d:\information\IOT\learn\C\opensource\redis\tests\assets\default.conf                                             | Properties   |         26 |          4 |          8 |         38 |
| d:\information\IOT\learn\C\opensource\redis\tests\assets\minimal.conf                                             | Properties   |          4 |          1 |          1 |          6 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\Makefile                                                | Makefile     |         71 |          2 |         13 |         86 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\aclcheck.c                                              | C            |        276 |         22 |         68 |        366 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\auth.c                                                  | C            |        199 |         33 |         40 |        272 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\basics.c                                                | C            |        771 |         70 |        210 |      1,051 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\blockedclient.c                                         | C            |        497 |         87 |        140 |        724 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\blockonbackground.c                                     | C            |        229 |         52 |         53 |        334 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\blockonkeys.c                                           | C            |        477 |         55 |        114 |        646 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\cmdintrospection.c                                      | C            |        147 |          4 |          8 |        159 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\commandfilter.c                                         | C            |        188 |         15 |         49 |        252 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\crash.c                                                 | C            |        279 |         12 |         21 |        312 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\datatype.c                                              | C            |        243 |         14 |         67 |        324 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\datatype2.c                                             | C            |        534 |         89 |        117 |        740 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\defragtest.c                                            | C            |        374 |         24 |         77 |        475 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\eventloop.c                                             | C            |        210 |         26 |         41 |        277 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\fork.c                                                  | C            |         76 |          4 |         17 |         97 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\getchannels.c                                           | C            |         54 |          6 |         10 |         70 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\getkeys.c                                               | C            |        135 |         11 |         33 |        179 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\hash.c                                                  | C            |        189 |         18 |         38 |        245 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\hooks.c                                                 | C            |        389 |         34 |         73 |        496 |
| d:\information\IOT\learn\C\opensource\redis\tests\modules\infotest.c                                              | C            |        101 |          0 |         19 |        120 |
