Date : 2025-03-24 21:28:34
Directory : d:\information\IOT\learn\C\opensource\zlog
Total : 117 files,  8379 codes, 1646 comments, 1880 blanks, all 11905 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\information\IOT\learn\C\opensource\zlog\src\rotater.c                   | C            |        424 |         39 |         91 |        554 |
| d:\information\IOT\learn\C\opensource\zlog\src\rotater.h                   | C++          |         25 |         20 |          9 |         54 |
| d:\information\IOT\learn\C\opensource\zlog\src\rule.c                      | C            |        852 |         78 |        154 |      1,084 |
| d:\information\IOT\learn\C\opensource\zlog\src\rule.h                      | C++          |         53 |         24 |         19 |         96 |
| d:\information\IOT\learn\C\opensource\zlog\src\spec.c                      | C            |        552 |         58 |        103 |        713 |
| d:\information\IOT\learn\C\opensource\zlog\src\spec.h                      | C++          |         37 |         16 |         15 |         68 |
| d:\information\IOT\learn\C\opensource\zlog\src\thread.c                    | C            |        144 |         18 |         30 |        192 |
| d:\information\IOT\learn\C\opensource\zlog\src\thread.h                    | C++          |         23 |         14 |          9 |         46 |
| d:\information\IOT\learn\C\opensource\zlog\src\version.h                   | C++          |          1 |          0 |          1 |          2 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_arraylist.c              | C            |        107 |         16 |         17 |        140 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_arraylist.h              | C++          |         23 |         15 |         11 |         49 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_defs.h                   | C++          |          8 |         14 |          4 |         26 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_hashtable.c              | C            |        264 |         16 |         58 |        338 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_hashtable.h              | C++          |         32 |         14 |         11 |         57 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_profile.c                | C            |         69 |         17 |         14 |        100 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_profile.h                | C++          |         37 |         14 |         10 |         61 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_util.c                   | C            |        112 |         18 |         24 |        154 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_util.h                   | C++          |          7 |         14 |          4 |         25 |
| d:\information\IOT\learn\C\opensource\zlog\src\zc_xplatform.h              | C++          |         41 |         16 |         16 |         73 |
| d:\information\IOT\learn\C\opensource\zlog\src\zlog-chk-conf.c             | C            |         51 |         14 |         13 |         78 |
| d:\information\IOT\learn\C\opensource\zlog\src\zlog.c                      | C            |        961 |         82 |        171 |      1,214 |
| d:\information\IOT\learn\C\opensource\zlog\src\zlog.h                      | C++          |        237 |         24 |         29 |        290 |
| d:\information\IOT\learn\C\opensource\zlog\src\zlog_win.c                  | C            |         72 |          5 |          7 |         84 |
| d:\information\IOT\learn\C\opensource\zlog\src\zlog_win.h                  | C++          |         53 |         21 |          8 |         82 |
| d:\information\IOT\learn\C\opensource\zlog\test\CMakeLists.txt             | cmake        |         44 |          0 |         12 |         56 |
| d:\information\IOT\learn\C\opensource\zlog\test\fuzzers\zlog_init_fuzzer.c | C            |         22 |          0 |          5 |         27 |
| d:\information\IOT\learn\C\opensource\zlog\test\makefile                   | Makefile     |         36 |          0 |          6 |         42 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_bitmap.c              | C            |         25 |         19 |         14 |         58 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_buf.c                 | C            |         77 |         14 |         20 |        111 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_category.c            | C            |         28 |         14 |         10 |         52 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_category.conf         | Properties   |          5 |          0 |          1 |          6 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_conf.c                | C            |         26 |         14 |         10 |         50 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_conf.conf             | Properties   |         23 |          0 |          8 |         31 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_conf2.c               | C            |         27 |         14 |          9 |         50 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_conf2.conf.h          | C++          |          1 |          0 |          1 |          2 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_default.c             | C            |         14 |         14 |          7 |         35 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_default.conf          | Properties   |          2 |          0 |          1 |          3 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_enabled.c             | C            |         29 |         17 |         10 |         56 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_enabled.conf          | Properties   |          6 |          0 |          1 |          7 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_enabled.h             | C++          |         11 |         19 |          7 |         37 |
| d:\information\IOT\learn\C\opensource\zlog\test\test_hashtable.c           | C            |         36 |         14 |         16 |         66 |
